license_number,public_name,vendor_id,name_source,is_public_dispensary,city,state
C10-0001418-LIC,Local Roots,67816969-170b-42ae-9286-d3b01c9f5c85,name_column,yes,Ukiah,CA
C10-0001419-LIC,"Sweet Flower Fresno 2, LLC",ad125c1b-c413-4a82-8d96-c1f5020e6d61,name_column,yes,Fresno,CA
C10-0001420-LIC,"HIGH TIDE, HIGHER GROUND- LYNWOOD",2dea7b3c-dedf-43f9-a03d-a989c9e740bf,name_column,yes,Lynwood,CA
C10-0001421-LIC,Wheelhouse Ventura,4a5aa8c0-c859-4bda-8690-0cc2cfa8068e,name_column,yes,Ventura,CA
C10-0001422-LIC,The Cake House,d653ff1a-3961-497b-81b2-f9aa6e9f5c92,name_column,yes,Corona,CA
C10-0001423-LIC,OXNARD HOLISTICS,c502265b-fc42-4448-927c-5cb2a88b613c,name_column,yes,Oxnard,CA
C10-0001424-LIC,The Cake House Dispensary,ce72fc75-a9da-41f1-bc8a-8f08aaeb7daa,name_column,yes,Encinitas,CA
C10-0001425-LIC,Dank Depot,e2c1e7f4-d9fc-4edf-9257-9aacc3eb2ee2,name_column,yes,Cathedral CTY,CA
C10-0001426-LIC,Prime Exotics,c219f0bc-ea1c-42a2-86d2-803b471adc8b,name_column,yes,Eureka,CA
C10-0001427-LIC,CATALYST - HAWTHORNE,5c51ba27-70d9-473a-8ffb-3762f37e0135,name_column,yes,Hawthorne,CA
C10-0001428-LIC,CATALYST - LYNWOOD,6b60f67f-6ef7-4740-9e67-cd46f4b008fc,name_column,yes,Lynwood,CA
C10-0001429-LIC,Mr Nice Guy Marijuana Cannabis Dispensary Santa Ana,f64efcd1-0a6b-416d-9d67-5f23f17901e6,name_column,yes,Santa Ana,CA
C10-0001430-LIC,Off the Charts,3048344d-0ea2-4a6c-bad8-0bc5bdfd06ed,name_column,yes,Perris,CA
C10-0001431-LIC,Premium Blossom,d4d8e172-8bc5-4a60-9795-c1f68fc7d18a,name_column,yes,Porterville,CA
C10-0001432-LIC,Embarc Fontana,e2fae4fd-191b-4732-b76c-b1ace1b0176b,name_column,yes,Fontana,CA
C10-0001433-LIC,West Coast Cannabis Club,cefec3fb-b7ab-415b-8b70-02dbab056fbb,name_column,yes,Indio,CA
C10-0001434-LIC,CATALYST OC3 SANTA ANA,511bd3fe-486a-4f12-9dfd-5166ce4c5449,name_column,yes,Santa Ana,CA
C10-0001435-LIC,STIIIZY Encinitas,ca0126c8-9126-48a0-a78d-4771aa2407d4,name_column,yes,Encinitas,CA
C10-0001436-LIC,SHRYNE NATIONAL CITY LLC,6923773e-bfb7-4925-80c1-b53386287d9e,name_column,yes,National City,CA
C10-0001437-LIC,Goldn Bloom,3321324b-e1e6-496e-afd9-2351c18c99c9,name_column,yes,Hemet,CA
C10-0001439-LIC,HiKei Cannabis,74d9f5dc-57c4-4783-b609-598400ff6f37,name_column,yes,La Mesa,CA
C10-0001440-LIC,Purple Lotus,7d41514e-5e1a-472b-a043-d626af1e840b,name_column,yes,San Jose,CA
C10-0001441-LIC,HIGHER GROUND - BALDWIN PARK,a6dbd335-e48e-4081-b658-52372cf150cc,name_column,yes,Baldwin Park,CA
C10-0001442-LIC,Embarc,d854479c-7c97-488b-a4a8-59d5595c3c8a,name_column,yes,Fresno,CA
C10-0001443-LIC,Deli by Caliva San Jose,b13a9c9f-5056-4ef5-ac5f-3491aadcba01,name_column,yes,San Jose,CA
C10-0001444-LIC,Seedstar Cannabis,d98b0e57-1a57-4c5c-8381-e59eebc75574,name_column,yes,Sacramento,CA
C10-0001445-LIC,Desert Kush,3c2523e0-dc9c-4057-a83f-b9025c25f06d,name_column,yes,Cathedral CTY,CA
C10-0001446-LIC,SPARC,d3aabc54-0ea4-4f09-8009-9ee9fe23409e,name_column,yes,Napa,CA
C10-0001447-LIC,Embarc Madera,067e232e-b5e9-4981-9782-c3ba7d0f488b,name_column,yes,Madera,CA
C10-0001448-LIC,PACKS,a2186a1e-053a-42c2-92d9-f5de754de680,name_column,yes,Santa Ana,CA
C10-0001449-LIC,SLOCAL Roots GB,fc74ed16-6f16-4251-9bbc-174bf1e0f9bb,name_column,yes,Grover Beach,CA
C10-0001450-LIC,Portola Pipeline,c49d7f3e-d4f8-4227-aeb3-a275d7a390e6,name_column,yes,San Francisco,CA
C10-0001451-LIC,ROOT ONE,b510e63e-70ca-49ee-aef6-384bffb5e489,name_column,yes,Guadalupe,CA
C10-0001452-LIC,STIIIZY LYNWOOD 2,1ad03845-1c1c-4318-947b-f8a8176c804d,name_column,yes,Lynwood,CA
C10-0001453-LIC,The Artist Tree,c3a21b91-bb7c-4d38-b653-9e5a170dab5e,name_column,yes,Laguna Woods,CA
C10-0001454-LIC,Jaderoom Artesia,bbbceffe-6884-4951-9d69-6a7f941c1355,name_column,yes,Artesia,CA
C10-0001455-LIC,Harvest Of Santa Monica,86846455-fba4-4bbc-8b9a-1437f77d33b1,name_column,yes,Santa Monica,CA
C10-0001456-LIC,Green Rush Cannabis Co.,3cfce09e-ccb6-49fd-8c0d-cceede33cf33,name_column,yes,Eureka,CA
C10-0001457-LIC,Club W,e79d9857-93e4-4440-a50d-55fee37b6854,name_column,yes,Modesto,CA
C10-0001458-LIC,CATALYST - LANCASTER,0fdc4915-7802-4e53-822c-9869499cc5af,name_column,yes,Lancaster,CA
C10-0001459-LIC,99 High Tide,478aca29-5206-410d-9b63-98a6559529ff,name_column,yes,Oxnard,CA
C10-0001460-LIC,BACKPACK BOYZ SAN BERNARDINO,f0f938c4-4c76-4cc1-9050-7caab8985354,name_column,yes,SN Bernrdno,CA
C10-0001461-LIC,Off the Charts,e677c705-113a-4f42-b657-a6046cac7b89,name_column,yes,Los Angeles,CA
C10-0001462-LIC,Nela Rd,efb99ce2-4f93-4e34-8519-8f432fd55aeb,name_column,yes,Los Angeles,CA
C10-0001463-LIC,My420,fb38ac4f-afd2-4e1b-ae74-f739e6c79676,name_column,yes,Winnetka,CA
C10-0001464-LIC,Gradus Hollywood,d77f0efb-ebb7-464a-8058-2010006d6ea5,name_column,yes,Los Angeles,CA
C10-0001465-LIC,Green Label RX,c8deccc8-a21b-4d73-acda-1fb8d5f6cd6a,name_column,yes,Canoga Park,CA
C10-0001466-LIC,Ccwat LLC,ebac6e4b-38ad-4fc4-bc8f-50184a0031e0,name_column,yes,Watsonville,CA
C10-0001467-LIC,Off the Charts,059c3baf-8d42-4d41-8853-2a9e4aac4f86,name_column,yes,Artesia,CA
C10-0001468-LIC,SOLFUL,986c7e38-0ccc-4ae4-8d58-957b6f10fc7f,name_column,yes,Healdsburg,CA
C10-0001469-LIC,The Artist Tree,7c77fd86-b318-4c68-be7c-a245c2498a8e,name_column,yes,Inglewood,CA
C10-0001470-LIC,BISHOP BOYZ LLC,511e949e-e7fd-47f8-8ebe-397a8013452a,name_column,yes,N Hollywood,CA
C10-0001471-LIC,Off the Charts,42174417-5437-4e03-abb4-1fd44a38e8e8,name_column,yes,Sylmar,CA
C10-0001473-LIC,Clarkies,127cbae5-d28e-4a5b-85f3-1c795bceb522,name_column,yes,Redway,CA
C10-0001474-LIC,Oakfruitland,6f3ce8c0-86f5-460f-b32e-819f6a48dcb5,name_column,yes,San Francisco,CA
C10-0001475-LIC,Off the Charts,6c4eaddd-6f62-4b79-9e40-efd537171208,name_column,yes,MC Farland,CA
C10-0001476-LIC,CCSAL LLC,8d29843e-713b-439c-bc8a-13799815d0c9,name_column,yes,Salinas,CA
C10-0001477-LIC,Brentwood Greens,a0af5d8f-0b61-49d4-961b-64da0213410b,name_column,yes,Los Angeles,CA
C10-0001478-LIC,Off the Charts,708638a8-1f4d-4fa0-b6c2-f822ac1d5003,name_column,yes,Hemet,CA
C10-0001479-LIC,High Season,8c433eab-0296-4c10-a997-8e5ae658ff1a,name_column,yes,Fontana,CA
C10-0001480-LIC,Mr Nice Guy Marijuana Cannabis Dispensary Santa Ana,2653c3df-e161-49c1-833e-3225767705b4,name_column,yes,Santa Ana,CA
C10-0001481-LIC,3185 MISSION LLC,522690ae-3a9e-4709-b3bb-c240dd78b0f8,name_column,yes,San Francisco,CA
C10-0001482-LIC,GEEZZ DISPENSARY,c052c333-1c2a-4827-b66b-45e716aa9ace,name_column,yes,Adelanto,CA
C10-0001483-LIC,The Highway on 132,3213f46d-ea24-4f3b-b3c9-bfc870920651,name_column,yes,Waterford,CA
C10-0001484-LIC,Ohana Cannabis,5d038e2c-4592-4bb5-a050-c3a557ef854d,name_column,yes,Oakland,CA
C10-0001485-LIC,The Hook,119022c5-8bc6-4efb-b6d5-d217c28aee45,name_column,yes,Capitola,CA
C10-0001486-LIC,The Hook Santa Cruz,70442811-af9f-4e10-a84c-66f83cb87b2a,name_column,yes,Santa Cruz,CA
C10-0001487-LIC,KUSH KORNER II,c11b5735-4d7f-4bec-a329-39b3abd24eab,name_column,yes,Los Angeles,CA
C10-0001488-LIC,"CV McHenry, INC",35921f40-865e-4c1b-a3f1-21c82e24b35a,name_column,yes,Modesto,CA
C10-0001489-LIC,Off the Charts,eee9c9b9-56a3-4328-a697-1640b5d58268,name_column,yes,Indio,CA
C10-0001490-LIC,Beyond Rooted 559 LLC,2341630d-91be-4ff2-bc0e-d0841a9500b4,name_column,yes,Fresno,CA
C10-0001491-LIC,Haze,47f55159-4b97-446f-a9e0-1616fc0a14d8,name_column,yes,San Jose,CA
C10-0001492-LIC,Nectar,65da3360-4273-4ad3-8bea-800ae81e9acd,name_column,yes,Daly City,CA
C10-0001493-LIC,Mystika,a1ac8deb-275f-497b-9318-26597756c6ae,name_column,yes,Perris,CA
C10-0001494-LIC,Ohana Santa Cruz LLC,19aaf061-553d-47c0-9cd1-e2a9440a86aa,name_column,yes,Santa Cruz,CA
C10-0001495-LIC,SHRYNE INDIO LLC,a330d40e-8b89-419b-926c-08f234309b95,name_column,yes,Indio,CA
